2023-05-12 11:52:20.216281921
2023-05-12 11:52:23.217742167
2023-05-12 11:52:28.229709530
2023-05-12 11:52:34.246743912
2023-05-12 11:52:39.264213071
2023-05-12 11:52:44.281468506
2023-05-12 11:52:49.296218555
2023-05-12 11:52:54.313051442
2023-05-12 11:52:59.329763107
2023-05-12 11:53:04.348545310
2023-05-12 11:53:10.359571988
2023-05-12 11:53:15.372674723
2023-05-12 11:53:20.391462197
2023-05-12 11:53:25.398409760
2023-05-12 11:53:30.406843481
2023-05-12 11:53:35.414747469
2023-05-12 11:53:35.431632723
2023-05-12 11:53:40.446628979
2023-05-12 11:53:45.463646689
2023-05-12 11:53:51.478718866
2023-05-12 11:53:56.485548817
2023-05-12 11:54:01.492599212
2023-05-12 11:54:06.500575798
2023-05-12 11:54:11.507251049
2023-05-12 11:54:16.514442130
2023-05-12 11:54:21.521461487
2023-05-12 11:54:27.527923100
2023-05-12 11:54:32.537324275
2023-05-12 11:54:37.545524576
2023-05-12 11:54:42.552003707
2023-05-12 11:54:47.561420400
2023-05-12 11:54:52.569301652
2023-05-12 11:54:57.579493039
2023-05-12 11:55:03.587449045
2023-05-12 11:55:24.593954341
2023-05-12 11:55:29.601520723
2023-05-12 11:55:35.611127133
2023-05-12 11:55:41.619335598
2023-05-12 11:55:47.630615292
2023-05-12 11:55:52.643501183
2023-05-12 11:55:58.652504001
2023-05-12 11:56:03.663485149
2023-05-12 11:56:08.672551009
2023-05-12 11:56:14.681539051
2023-05-12 11:56:20.699809354
2023-05-12 11:56:25.717486188
2023-05-12 11:56:30.724329211
2023-05-12 11:56:31.737389639
2023-05-12 11:56:36.745585630
2023-05-12 11:56:41.762561470
2023-05-12 11:56:47.775498075
2023-05-12 11:56:54.784766568
2023-05-12 11:56:59.794615369
2023-05-12 11:57:04.817467927
2023-05-12 11:57:05.824615203
2023-05-12 11:57:05.839513424
2023-05-12 11:57:10.856543191
2023-05-12 11:57:15.866715985
2023-05-12 11:57:20.883553724
2023-05-12 11:57:26.893432712
2023-05-12 11:57:31.913791387
2023-05-12 11:57:36.922984088
2023-05-12 11:57:41.936947925
2023-05-12 11:57:47.957456969
2023-05-12 11:57:52.972124167
2023-05-12 11:57:57.991438566
2023-05-12 11:58:04.000675035
2023-05-12 11:58:09.019923084
2023-05-12 11:58:14.038485580
2023-05-12 11:58:19.047458855
2023-05-12 11:58:25.059945428
2023-05-12 11:58:30.075284962
2023-05-12 11:58:35.084449322
2023-05-12 11:58:40.095708444
2023-05-12 11:58:46.116605230
2023-05-12 11:58:51.137495994
2023-05-12 11:58:56.145443260
2023-05-12 11:59:01.153507530
2023-05-12 11:59:07.161344431
2023-05-12 11:59:12.174565640
2023-05-12 11:59:17.191152021
2023-05-12 11:59:22.199691735
2023-05-12 11:59:28.213445884
2023-05-12 11:59:33.220458070
2023-05-12 11:59:38.228499007
2023-05-12 11:59:43.235111596
2023-05-12 11:59:48.246486580
2023-05-12 11:59:54.254430268
2023-05-12 11:59:59.260937332
2023-05-12 12:00:04.270299295
2023-05-12 12:00:09.278533386
2023-05-12 12:00:14.285289537
2023-05-12 12:00:20.292496182
2023-05-12 12:00:25.302460328
2023-05-12 12:00:30.317325069
2023-05-12 12:00:35.331497620
2023-05-12 12:00:40.345267782
2023-05-12 12:00:46.358647250
2023-05-12 12:00:51.368680179
2023-05-12 12:00:56.385625287
2023-05-12 12:01:01.395473338
2023-05-12 12:01:06.402596898
2023-05-12 12:01:12.414668301
2023-05-12 12:01:17.432397837
2023-05-12 12:01:22.449785839
2023-05-12 12:01:27.468760585
2023-05-12 12:01:32.487596811
2023-05-12 12:01:38.502469150
2023-05-12 12:01:43.511791499
2023-05-12 12:01:48.518857209
2023-05-12 12:01:53.536619107
2023-05-12 12:01:58.553364650
2023-05-12 12:02:03.569622621
2023-05-12 12:02:09.582815493
2023-05-12 12:02:14.598749511
2023-05-12 12:02:19.613432317
2023-05-12 12:02:24.620970489
2023-05-12 12:02:29.628497513
2023-05-12 12:02:35.637452924
2023-05-12 12:02:40.647864335
2023-05-12 12:02:45.655421377
2023-05-12 12:02:50.665134738
2023-05-12 12:02:55.672157311
2023-05-12 12:03:01.679110015
2023-05-12 12:03:06.686478441
2023-05-12 12:03:11.693582816
2023-05-12 12:03:16.701462402
2023-05-12 12:03:22.710499286
2023-05-12 12:03:27.721066236
2023-05-12 12:03:32.735368485
2023-05-12 12:03:37.748543503
2023-05-12 12:03:43.765701836
2023-05-12 12:03:48.783774701
2023-05-12 12:03:53.794433401
2023-05-12 12:03:58.802497190
2023-05-12 12:04:03.813713435
2023-05-12 12:04:08.832666653
2023-05-12 12:04:14.850526357
2023-05-12 12:04:19.862563360
2023-05-12 12:04:24.878674718
2023-05-12 12:04:29.894979464
2023-05-12 12:04:34.912988732
2023-05-12 12:04:40.922432489
2023-05-12 12:04:45.930103772
2023-05-12 12:04:50.937503444
2023-05-12 12:04:55.946567652
2023-05-12 12:05:00.955443920
