time;uss;rss
2023-05-09 17:12:34,685841;22933504;22933504
2023-05-09 17:12:34,888557;22933504;22933504
2023-05-09 17:12:35,091100;22933504;22933504
2023-05-09 17:12:35,300056;22933504;22933504
2023-05-09 17:12:35,508023;22933504;22933504
2023-05-09 17:12:35,716167;22933504;22933504
2023-05-09 17:12:35,926082;22933504;22933504
2023-05-09 17:12:36,130558;22933504;22933504
2023-05-09 17:12:36,337444;22933504;22933504
2023-05-09 17:12:36,542318;22933504;22933504
2023-05-09 17:12:36,749491;22933504;22933504
2023-05-09 17:12:36,954527;22933504;22933504
2023-05-09 17:12:37,161443;22933504;22933504
2023-05-09 17:12:37,369623;22933504;22933504
2023-05-09 17:12:37,578634;22933504;22933504
2023-05-09 17:12:37,781542;22933504;22933504
2023-05-09 17:12:37,986834;22933504;22933504
2023-05-09 17:12:38,197510;22933504;22933504
2023-05-09 17:12:38,401824;22933504;22933504
2023-05-09 17:12:38,606040;22933504;22933504
2023-05-09 17:12:38,809619;22933504;22933504
2023-05-09 17:12:39,012802;22933504;22933504
2023-05-09 17:12:39,219882;22933504;22933504
2023-05-09 17:12:39,429384;22933504;22933504
2023-05-09 17:12:39,632569;22925312;22925312
2023-05-09 17:12:39,835032;22925312;22925312
2023-05-09 17:12:40,037782;22925312;22925312
2023-05-09 17:12:40,241211;22925312;22925312
2023-05-09 17:12:40,446921;22925312;22925312
